Simunation No.,fc1 (g/g),fc2 (g/g),fc3 (g/g),si (g/cm2/yr),r0 (g/cm2),Total Accretion (cm),Mean Accretion (cm/yr),Mean OM%,Mean OM Density (mg/cm3),Mean BD (g/cm3),C_Seq (g/m2/yr),OC Density (mg/cm3),IM(%),IM Density (mg/cm3),Necromass (Mg/ha),Root Necromass (Mg/ha),Root Necromass Projected Up to 40 cm (Mg/ha),Sites
689,0.308196831,0.128988281,0.313077237,0.018529717,0.005552075,15.69676017,0.156967602,52.04730896,105.6836591,0.203782698,76.06911434,46.93425866,47.95270634,98.09903838,158.6302431,41.46039299,154.1046311,Rookery Bay
690,0.28004201,0.12624324,0.394466192,0.023100976,0.00570586,16.10808658,0.161080866,45.95174335,104.5440521,0.228543049,75.95234443,45.7412669,54.0482639,123.9989968,160.7603696,43.59051954,156.2157039,Rookery Bay
691,0.265796069,0.147755757,0.473351777,0.024682752,0.005006776,15.58589766,0.155858977,43.16702907,103.9182884,0.242139455,72.80597744,45.13407187,56.83298887,138.2211668,155.4627734,38.29292328,144.7189199,Rookery Bay
692,0.267830991,0.152248387,0.41421353,0.014753791,0.004660217,14.67039217,0.146703922,57.57812741,106.5192812,0.18562678,73.09803263,47.89938641,42.42188273,79.10749875,150.5449677,33.37511762,137.519772,Rookery Bay
693,0.27614514,0.161093146,0.489021745,0.020120249,0.005467828,15.91837392,0.159183739,49.8552785,105.3041635,0.212028093,76.36345499,46.52317673,50.14473636,106.7239293,160.3852777,43.21542762,157.5371369,Rookery Bay
694,0.271036724,0.133220556,0.452621105,0.025026554,0.005674293,16.25629732,0.162562973,43.79787151,104.0725415,0.238787654,75.83212889,45.27901547,56.20213439,134.7151128,161.5212107,44.35136058,156.9929318,Rookery Bay
695,0.29159584,0.161162468,0.214729318,0.021847525,0.005210185,15.36684054,0.153668405,46.46439778,104.6428444,0.226396831,73.01399072,45.84334243,53.53562027,121.753987,154.1235694,36.95371934,142.1938549,Rookery Bay
696,0.258921158,0.145168875,0.36581473,0.019821742,0.005804683,15.92271251,0.159227125,50.31661881,105.3865487,0.210237939,76.54910251,46.61118303,49.68339016,104.8513907,160.1140658,42.94421568,156.2009798,Rookery Bay
697,0.278902773,0.161244259,0.251242208,0.026551839,0.006184822,16.59294887,0.165929489,42.56891649,103.7858349,0.245016916,76.82850252,45.00481323,57.43108576,141.2310808,163.7007043,46.53085418,159.5688644,Rookery Bay
698,0.249406186,0.137789094,0.206498093,0.020283125,0.006531312,16.29408838,0.162940884,50.17791259,105.3636559,0.210735178,78.15378471,46.58583489,49.82209004,105.3715222,162.8421225,45.67227244,160.0941536,Rookery Bay
