Simunation No.,fc1 (g/g),fc2 (g/g),fc3 (g/g),si (g/cm2/yr),r0 (g/cm2),Total Accretion (cm),Mean Accretion (cm/yr),Mean OM%,Mean OM Density (mg/cm3),Mean BD (g/cm3),C_Seq (g/m2/yr),OC Density (mg/cm3),IM(%),IM Density (mg/cm3),Necromass (Mg/ha),Root Necromass (Mg/ha),Root Necromass Projected Up to 40 cm (Mg/ha),Sites
198,0.5045700548882609,0.19067070964161256,0.33694088814264317,0.012348237184095714,0.01702040951990954,16.85678117358879,0.1685678117358879,62.89832885819292,107.02423887428981,0.1746567715775038,98.30705598100285,48.65101006634532,37.10173506292635,67.63253270321395,156.64564047169532,115.27822489392523,315.2661242244276,Taylor Slough
199,0.5246231051904133,0.19734746559756308,0.28671961411070684,0.014823025043795145,0.018925961347277757,20.990669661637995,0.20990669661637995,63.7931491488999,107.07171846423438,0.17362399930285066,129.29128379478965,48.755290208518716,36.20686796122141,66.55228083861634,192.49971309946844,151.1322975216985,318.42386977014405,Taylor Slough
200,0.4734317462739857,0.1841213237812369,0.2489537809361015,0.013024120525826268,0.022012892664916982,25.959944595311278,0.2595994459531128,71.38459090584455,107.91261743339116,0.15535425262830035,171.73988134827695,49.898986932419376,28.615453986852877,47.44163519490922,234.84340524121814,193.4759896634482,317.8895232385622,Taylor Slough
201,0.47106274749515853,0.1900405994836983,0.28188777390114955,0.014924801837199572,0.00803271429315541,7.398938502231356,0.07398938502231356,35.652582343463195,101.81098127326567,0.2879253800463531,32.90407576449141,43.247956945686724,64.34743112861089,186.11439877308743,70.17339246558028,28.80597688781026,233.18032222549454,Taylor Slough
202,0.47759519729027117,0.19881688691874685,0.2667105730226643,0.01682479827179021,0.025386570692965384,38.683860942844206,0.38683860942844206,74.17438307535977,108.13150447384508,0.15059778698302384,279.28771179879186,50.26598548487086,25.825635928502905,42.46628250917873,344.99846211164737,303.63104653387734,315.53602580740346,Taylor Slough
203,0.4697089844473006,0.19577688602427679,0.3214317612349126,0.014433242921733556,0.012952734966070446,11.154196539814032,0.11154196539814032,47.62824787224656,104.73054086843383,0.22449133223350304,55.59607390731397,45.99430564160584,52.37176639002328,119.76079136506935,104.51450242809217,63.1470868503221,291.2900151446812,Taylor Slough
204,0.4617466055377045,0.22218212555220224,0.3002768093749546,0.013996004679438376,0.02671826678544426,43.531181621195216,0.43531181621195214,79.32604765367026,108.61250532910863,0.14014712259683945,326.2686803504801,50.98909985656366,20.673978245319592,31.53461726773083,387.9342542580775,346.56683868030734,314.42311375468347,Taylor Slough
205,0.4800296846882055,0.21097200147359696,0.28008508493068407,0.013361715185734606,0.007337058128132843,6.953498181113612,0.06953498181113611,37.08641382603286,102.28053320331705,0.27772316252544055,31.187119366941626,43.6477424726702,62.9135942589585,175.4426293221235,66.685113382316,25.317697804545965,223.27414143738355,Taylor Slough
206,0.513585772944969,0.20713663708922936,0.29724235530034704,0.010870432270391195,0.02142569782534368,26.36855268495114,0.2636855268495114,75.36575788579722,108.30544609967215,0.1468189274663696,178.53043549589688,50.470294693046256,24.63427782311809,38.51348136669748,240.89040424105997,199.5229886632901,321.4610708562316,Taylor Slough
207,0.48680021550695934,0.18069339475334878,0.2209289440104391,0.013549422514391563,0.024400684331551733,33.662330266827226,0.3366233026682723,75.60039003718965,108.29618149592108,0.1470197282391171,238.37919414346445,50.48479753583273,24.399625919739186,38.72354674319595,301.78187149529066,260.4144559175206,317.33726147413165,Taylor Slough
208,0.49432997205763196,0.15899609222316996,0.26343897064090654,0.012002158321453585,0.03213850194848587,76.84219315235906,0.7684219315235906,88.01222783914884,109.28346593108208,0.12556879467546447,626.6799724169848,52.12551304752651,11.987790702519222,16.285328744382447,684.648029441417,643.2806138636471,294.6777446396402,Taylor Slough
209,0.49343010473142657,0.16474991641746253,0.23663366947865913,0.011565711933556447,0.0233883544755014,30.431196109223613,0.3043119610922361,76.7039150510034,108.41421643273317,0.1444553581230365,212.4486033757906,50.648564425211724,23.296109191820673,36.04114169030331,274.68995644917,233.32254087139984,319.03003499364974,Taylor Slough
210,0.482407419261337,0.17109685959973647,0.3531592450072607,0.007466935259418386,0.008622738542776542,7.377618400318787,0.07377618400318788,55.615246234100105,106.23276918657547,0.19185200570735578,36.18423810302283,47.562806504676296,44.38476794179967,85.61923652078029,72.8552073151651,31.487791737395064,251.14910914836426,Taylor Slough
211,0.5009472899487536,0.19553541732715318,0.3113890283987002,0.01737792493185099,0.022086943220151346,29.229682622296558,0.2922968262229656,67.84401047400154,107.48223254114929,0.16470531481400788,196.3355013038313,49.34298439326758,32.156033308866704,57.223082272858605,263.78511818325757,222.41770260548742,318.8967749710517,Taylor Slough
212,0.5466198693141155,0.16257487713239027,0.21794602276820596,0.013038206744561907,0.015131224605928827,14.015432529018346,0.14015432529018346,56.7252244551595,106.22507377438306,0.19201969123078022,76.39953671411126,47.65276215933704,43.27480912889921,85.79461745639722,131.0698373662901,89.70242178852011,308.2220747952214,Taylor Slough
213,0.47950108834358146,0.19030470539211847,0.3631708919609334,0.015265098174875352,0.021613944395893953,27.247023653976164,0.27247023653976166,69.10626229435022,107.64736037113941,0.16111741778357144,181.3007077816605,49.54812023736154,30.89377670318291,53.47005741243205,246.91192598443504,205.544510406665,319.41046188578594,Taylor Slough
214,0.5248406117680342,0.2017903482378521,0.2421782625605925,0.009746842643421454,0.020332473277114665,22.949340731379124,0.22949340731379123,74.91839053065539,108.28365574091949,0.14729213163474872,150.23451024064778,50.419317794291494,25.081635542297324,39.008475893829214,210.9787648023546,169.61134922458447,320.89688601341425,Taylor Slough
215,0.522749942182575,0.17994955755673014,0.25219141472990014,0.014134753758274499,0.01949515197795806,21.707575572824847,0.21707575572824847,65.70545498709183,107.30346724678566,0.16858882164183425,135.62599085357135,49.055174604910356,34.294565776697084,61.28535439504863,198.69283485919345,157.32541928142348,318.5122079315903,Taylor Slough
